Table Name,Columns,Data Types,Constraints
production.workorderrouting,"['workorderid', 'scheduledenddate', 'scheduledstartdate', 'actualenddate', 'actualstartdate', 'actualresourcehrs', 'plannedcost', 'actualcost', 'operationsequence', 'productid', 'workorderid', 'locationid']","[['integer', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'numeric(9,4)', 'numeric', 'numeric', 'smallint', 'integer', 'integer', 'smallint']]","[('FK_WorkOrderRouting_WorkOrder_WorkOrderID', 'u'), ('CK_WorkOrderRouting_ScheduledEndDate', 'u'), ('CK_WorkOrderRouting_ScheduledEndDate', 'u'), ('CK_WorkOrderRouting_ActualEndDate', 'p'), ('CK_WorkOrderRouting_ActualEndDate', 'p'), ('CK_WorkOrderRouting_ActualResourceHrs', 'u'), ('CK_WorkOrderRouting_PlannedCost', 'u'), ('CK_WorkOrderRouting_ActualCost', 'p'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'u'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'p'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'p'), ('FK_WorkOrderRouting_Location_LocationID', 'u')]"
purchasing.productvendor,"['businessentityid', 'unitmeasurecode', 'maxorderqty', 'productid', 'productid', 'businessentityid', 'onorderqty', 'standardprice', 'lastreceiptcost', 'minorderqty', 'averageleadtime']","[['integer', 'character(3)', 'integer', 'integer', 'integer', 'integer', 'integer', 'numeric', 'numeric', 'integer', 'integer']]","[('FK_ProductVendor_Vendor_BusinessEntityID', 'u'), ('FK_ProductVendor_UnitMeasure_UnitMeasureCode', 'u'), ('CK_ProductVendor_MaxOrderQty', 'u'), ('FK_ProductVendor_Product_ProductID', 'p'), ('PK_ProductVendor_ProductID_BusinessEntityID', 'p'), ('PK_ProductVendor_ProductID_BusinessEntityID', 'u'), ('CK_ProductVendor_OnOrderQty', 'u'), ('CK_ProductVendor_StandardPrice', 'p'), ('CK_ProductVendor_LastReceiptCost', 'u'), ('CK_ProductVendor_MinOrderQty', 'p'), ('CK_ProductVendor_AverageLeadTime', 'p')]"
purchasing.purchaseorderdetail,"['receivedqty', 'unitprice', 'purchaseorderid', 'orderqty', 'purchaseorderid', 'purchaseorderdetailid', 'productid', 'rejectedqty']","[['numeric(8,2)', 'numeric', 'integer', 'smallint', 'integer', 'integer', 'integer', 'numeric(8,2)']]","[('CK_PurchaseOrderDetail_ReceivedQty', 'u'), ('CK_PurchaseOrderDetail_UnitPrice', 'u'), ('PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID', 'u'), ('CK_PurchaseOrderDetail_OrderQty', 'p'), ('FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID', 'p'), ('PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID', 'u'), ('FK_PurchaseOrderDetail_Product_ProductID', 'u'), ('CK_PurchaseOrderDetail_RejectedQty', 'p')]"
purchasing.purchaseorderheader,"['purchaseorderid', 'shipmethodid', 'vendorid', 'employeeid', 'status', 'orderdate', 'shipdate', 'subtotal', 'taxamt', 'freight']","[['integer', 'integer', 'integer', 'integer', 'smallint', 'timestamp without time zone', 'timestamp without time zone', 'numeric', 'numeric', 'numeric']]","[('PK_PurchaseOrderHeader_PurchaseOrderID', 'u'), ('FK_PurchaseOrderHeader_ShipMethod_ShipMethodID', 'u'), ('FK_PurchaseOrderHeader_Vendor_VendorID', 'u'), ('FK_PurchaseOrderHeader_Employee_EmployeeID', 'p'), ('CK_PurchaseOrderHeader_Status', 'p'), ('CK_PurchaseOrderHeader_ShipDate', 'u'), ('CK_PurchaseOrderHeader_ShipDate', 'u'), ('CK_PurchaseOrderHeader_SubTotal', 'p'), ('CK_PurchaseOrderHeader_TaxAmt', 'u'), ('CK_PurchaseOrderHeader_Freight', 'p')]"
purchasing.shipmethod,"['shipbase', 'shipmethodid', 'shiprate']","[['numeric', 'integer', 'numeric']]","[('CK_ShipMethod_ShipBase', 'u'), ('PK_ShipMethod_ShipMethodID', 'u'), ('CK_ShipMethod_ShipRate', 'u')]"
purchasing.vendor,"['businessentityid', 'creditrating', 'businessentityid']","[['integer', 'smallint', 'integer']]","[('PK_Vendor_BusinessEntityID', 'u'), ('CK_Vendor_CreditRating', 'u'), ('FK_Vendor_BusinessEntity_BusinessEntityID', 'u')]"
sales.countryregioncurrency,"['countryregioncode', 'currencycode', 'countryregioncode', 'currencycode']","[['character varying(3)', 'character(3)', 'character varying(3)', 'character(3)']]","[('FK_CountryRegionCurrency_CountryRegion_CountryRegionCode', 'u'), ('FK_CountryRegionCurrency_Currency_CurrencyCode', 'u'), ('PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode', 'u'), ('PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode', 'p')]"
sales.creditcard,['creditcardid'],[['integer']],"[('PK_CreditCard_CreditCardID', 'u')]"
sales.currency,['currencycode'],[['character(3)']],"[('PK_Currency_CurrencyCode', 'u')]"
sales.currencyrate,"['tocurrencycode', 'fromcurrencycode', 'currencyrateid']","[['character(3)', 'character(3)', 'integer']]","[('FK_CurrencyRate_Currency_ToCurrencyCode', 'u'), ('FK_CurrencyRate_Currency_FromCurrencyCode', 'u'), ('PK_CurrencyRate_CurrencyRateID', 'u')]"
sales.customer,"['territoryid', 'personid', 'customerid', 'storeid']","[['integer', 'integer', 'integer', 'integer']]","[('FK_Customer_SalesTerritory_TerritoryID', 'u'), ('FK_Customer_Person_PersonID', 'u'), ('PK_Customer_CustomerID', 'u'), ('FK_Customer_Store_StoreID', 'p')]"
sales.personcreditcard,"['businessentityid', 'businessentityid', 'creditcardid', 'creditcardid']","[['integer', 'integer', 'integer', 'integer']]","[('PK_PersonCreditCard_BusinessEntityID_CreditCardID', 'u'), ('FK_PersonCreditCard_Person_BusinessEntityID', 'u'), ('FK_PersonCreditCard_CreditCard_CreditCardID', 'u'), ('PK_PersonCreditCard_BusinessEntityID_CreditCardID', 'p')]"
sales.salesorderdetail,"['productid', 'salesorderdetailid', 'salesorderid', 'unitpricediscount', 'unitprice', 'orderqty', 'salesorderid', 'specialofferid']","[['integer', 'integer', 'integer', 'numeric', 'numeric', 'smallint', 'integer', 'integer']]","[('FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID', 'u'), ('PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID', 'u'), ('PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID', 'u'), ('CK_SalesOrderDetail_UnitPriceDiscount', 'p'), ('CK_SalesOrderDetail_UnitPrice', 'p'), ('CK_SalesOrderDetail_OrderQty', 'u'), ('FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID', 'u'), ('FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID', 'p')]"
sales.salesorderheader,"['currencyrateid', 'shiptoaddressid', 'billtoaddressid', 'salesorderid', 'shipmethodid', 'salespersonid', 'customerid', 'creditcardid', 'duedate', 'orderdate', 'status', 'orderdate', 'taxamt', 'freight', 'shipdate', 'subtotal', 'territoryid']","[['integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'integer', 'timestamp without time zone', 'timestamp without time zone', 'smallint', 'timestamp without time zone', 'numeric', 'numeric', 'timestamp without time zone', 'numeric', 'integer']]","[('FK_SalesOrderHeader_CurrencyRate_CurrencyRateID', 'u'), ('FK_SalesOrderHeader_Address_ShipToAddressID', 'u'), ('FK_SalesOrderHeader_Address_BillToAddressID', 'u'), ('PK_SalesOrderHeader_SalesOrderID', 'p'), ('FK_SalesOrderHeader_ShipMethod_ShipMethodID', 'p'), ('FK_SalesOrderHeader_SalesPerson_SalesPersonID', 'u'), ('FK_SalesOrderHeader_Customer_CustomerID', 'u'), ('FK_SalesOrderHeader_CreditCard_CreditCardID', 'p'), ('CK_SalesOrderHeader_DueDate', 'u'), ('CK_SalesOrderHeader_ShipDate', 'p'), ('CK_SalesOrderHeader_Status', 'p'), ('CK_SalesOrderHeader_DueDate', 'u'), ('CK_SalesOrderHeader_TaxAmt', 'u'), ('CK_SalesOrderHeader_Freight', 'u'), ('CK_SalesOrderHeader_ShipDate', 'u'), ('CK_SalesOrderHeader_SubTotal', 'u'), ('FK_SalesOrderHeader_SalesTerritory_TerritoryID', 'p')]"
sales.salesorderheadersalesreason,"['salesreasonid', 'salesorderid', 'salesreasonid', 'salesorderid']","[['integer', 'integer', 'integer', 'integer']]","[('PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID', 'u'), ('FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID', 'u'), ('FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID', 'u'), ('PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID', 'p')]"
sales.salesperson,"['bonus', 'salesquota', 'commissionpct', 'salesytd', 'saleslastyear', 'businessentityid', 'territoryid', 'businessentityid']","[['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'integer', 'integer', 'integer']]","[('CK_SalesPerson_Bonus', 'u'), ('CK_SalesPerson_SalesQuota', 'u'), ('CK_SalesPerson_CommissionPct', 'u'), ('CK_SalesPerson_SalesYTD', 'p'), ('CK_SalesPerson_SalesLastYear', 'p'), ('FK_SalesPerson_Employee_BusinessEntityID', 'u'), ('FK_SalesPerson_SalesTerritory_TerritoryID', 'u'), ('PK_SalesPerson_BusinessEntityID', 'p')]"
sales.salespersonquotahistory,"['businessentityid', 'businessentityid', 'salesquota', 'quotadate']","[['integer', 'integer', 'numeric', 'timestamp without time zone']]","[('PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate', 'u'), ('FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID', 'u'), ('CK_SalesPersonQuotaHistory_SalesQuota', 'u'), ('PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate', 'p')]"
sales.salesreason,['salesreasonid'],[['integer']],"[('PK_SalesReason_SalesReasonID', 'u')]"
sales.salestaxrate,"['salestaxrateid', 'taxtype', 'stateprovinceid']","[['integer', 'smallint', 'integer']]","[('PK_SalesTaxRate_SalesTaxRateID', 'u'), ('CK_SalesTaxRate_TaxType', 'u'), ('FK_SalesTaxRate_StateProvince_StateProvinceID', 'u')]"
sales.salesterritory,"['costlastyear', 'saleslastyear', 'salesytd', 'countryregioncode', 'territoryid', 'costytd']","[['numeric', 'numeric', 'numeric', 'character varying(3)', 'integer', 'numeric']]","[('CK_SalesTerritory_CostLastYear', 'u'), ('CK_SalesTerritory_SalesLastYear', 'u'), ('CK_SalesTerritory_SalesYTD', 'u'), ('FK_SalesTerritory_CountryRegion_CountryRegionCode', 'p'), ('PK_SalesTerritory_TerritoryID', 'p'), ('CK_SalesTerritory_CostYTD', 'u')]"
sales.salesterritoryhistory,"['territoryid', 'startdate', 'startdate', 'enddate', 'businessentityid', 'territoryid', 'businessentityid']","[['integer', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer', 'integer', 'integer']]","[('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u'), ('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u'), ('CK_SalesTerritoryHistory_EndDate', 'u'), ('CK_SalesTerritoryHistory_EndDate', 'p'), ('FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID', 'p'), ('FK_SalesTerritoryHistory_SalesTerritory_TerritoryID', 'u'), ('PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID', 'u')]"
sales.shoppingcartitem,"['productid', 'shoppingcartitemid', 'quantity']","[['integer', 'integer', 'integer']]","[('FK_ShoppingCartItem_Product_ProductID', 'u'), ('PK_ShoppingCartItem_ShoppingCartItemID', 'u'), ('CK_ShoppingCartItem_Quantity', 'u')]"
sales.specialoffer,"['minqty', 'enddate', 'startdate', 'discountpct', 'maxqty', 'specialofferid']","[['integer', 'timestamp without time zone', 'timestamp without time zone', 'numeric', 'integer', 'integer']]","[('CK_SpecialOffer_MinQty', 'u'), ('CK_SpecialOffer_EndDate', 'u'), ('CK_SpecialOffer_EndDate', 'u'), ('CK_SpecialOffer_DiscountPct', 'p'), ('CK_SpecialOffer_MaxQty', 'p'), ('PK_SpecialOffer_SpecialOfferID', 'u')]"
sales.specialofferproduct,"['specialofferid', 'specialofferid', 'productid', 'productid']","[['integer', 'integer', 'integer', 'integer']]","[('FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID', 'u'), ('PK_SpecialOfferProduct_SpecialOfferID_ProductID', 'u'), ('PK_SpecialOfferProduct_SpecialOfferID_ProductID', 'u'), ('FK_SpecialOfferProduct_Product_ProductID', 'p')]"
sales.store,"['businessentityid', 'businessentityid', 'salespersonid']","[['integer', 'integer', 'integer']]","[('PK_Store_BusinessEntityID', 'u'), ('FK_Store_BusinessEntity_BusinessEntityID', 'u'), ('FK_Store_SalesPerson_SalesPersonID', 'u')]"
