Table Name,Column Name,Data Type,Constraint Name,Constraint Type,processed_schema
pg_replication_origin,"['roident', 'roname']","['oid', 'text']","[('pg_replication_origin_roiident_index', 'u'), ('pg_replication_origin_roname_index', 'u')]","['p', 'u']",pg_replication_origin roident roname oid text pg_replication_origin_roiident_index_u pg_replication_origin_roname_index_u 0 1 u u
pg_rewrite,"['oid', 'ev_class', 'rulename']","['oid', 'oid', 'name']","[('pg_rewrite_oid_index', 'u'), ('pg_rewrite_rel_rulename_index', 'u'), ('pg_rewrite_rel_rulename_index', 'u')]","['p', 'u', 'u']",pg_rewrite oid ev_class rulename oid oid name pg_rewrite_oid_index_u pg_rewrite_rel_rulename_index_u pg_rewrite_rel_rulename_index_u 0 1 2 u u u
pg_seclabel,"['provider', 'objsubid', 'classoid', 'objoid']","['text', 'integer', 'oid', 'oid']","[('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'u'), ('pg_seclabel_object_index', 'p')]","['p', 'p', 'p', 'p']",pg_seclabel provider objsubid classoid objoid text integer oid oid pg_seclabel_object_index_u pg_seclabel_object_index_u pg_seclabel_object_index_u pg_seclabel_object_index_p 0 1 2 3 u u u p
pg_sequence,['seqrelid'],['oid'],"[('pg_sequence_seqrelid_index', 'u')]",['p'],pg_sequence seqrelid oid pg_sequence_seqrelid_index_u 0 u
pg_shdescription,"['objoid', 'classoid']","['oid', 'oid']","[('pg_shdescription_o_c_index', 'u'), ('pg_shdescription_o_c_index', 'u')]","['p', 'p']",pg_shdescription objoid classoid oid oid pg_shdescription_o_c_index_u pg_shdescription_o_c_index_u 0 1 u u
pg_shseclabel,"['provider', 'objoid', 'classoid']","['text', 'oid', 'oid']","[('pg_shseclabel_object_index', 'u'), ('pg_shseclabel_object_index', 'u'), ('pg_shseclabel_object_index', 'u')]","['p', 'p', 'p']",pg_shseclabel provider objoid classoid text oid oid pg_shseclabel_object_index_u pg_shseclabel_object_index_u pg_shseclabel_object_index_u 0 1 2 u u u
pg_statistic,"['staattnum', 'starelid', 'stainherit']","['smallint', 'oid', 'boolean']","[('pg_statistic_relid_att_inh_index', 'u'), ('pg_statistic_relid_att_inh_index', 'u'), ('pg_statistic_relid_att_inh_index', 'u')]","['p', 'p', 'p']",pg_statistic staattnum starelid stainherit smallint oid boolean pg_statistic_relid_att_inh_index_u pg_statistic_relid_att_inh_index_u pg_statistic_relid_att_inh_index_u 0 1 2 u u u
pg_statistic_ext,"['stxnamespace', 'oid', 'stxname']","['oid', 'oid', 'name']","[('pg_statistic_ext_name_index', 'u'), ('pg_statistic_ext_oid_index', 'u'), ('pg_statistic_ext_name_index', 'u')]","['u', 'p', 'u']",pg_statistic_ext stxnamespace oid stxname oid oid name pg_statistic_ext_name_index_u pg_statistic_ext_oid_index_u pg_statistic_ext_name_index_u 0 1 2 u u u
pg_statistic_ext_data,"['stxdinherit', 'stxoid']","['boolean', 'oid']","[('pg_statistic_ext_data_stxoid_inh_index', 'u'), ('pg_statistic_ext_data_stxoid_inh_index', 'u')]","['p', 'p']",pg_statistic_ext_data stxdinherit stxoid boolean oid pg_statistic_ext_data_stxoid_inh_index_u pg_statistic_ext_data_stxoid_inh_index_u 0 1 u u
pg_subscription,"['subname', 'subdbid', 'oid']","['name', 'oid', 'oid']","[('pg_subscription_subname_index', 'u'), ('pg_subscription_subname_index', 'u'), ('pg_subscription_oid_index', 'u')]","['u', 'u', 'p']",pg_subscription subname subdbid oid name oid oid pg_subscription_subname_index_u pg_subscription_subname_index_u pg_subscription_oid_index_u 0 1 2 u u u
pg_subscription_rel,"['srsubid', 'srrelid']","['oid', 'oid']","[('pg_subscription_rel_srrelid_srsubid_index', 'u'), ('pg_subscription_rel_srrelid_srsubid_index', 'u')]","['p', 'p']",pg_subscription_rel srsubid srrelid oid oid pg_subscription_rel_srrelid_srsubid_index_u pg_subscription_rel_srrelid_srsubid_index_u 0 1 u u
pg_tablespace,"['oid', 'spcname']","['oid', 'name']","[('pg_tablespace_oid_index', 'u'), ('pg_tablespace_spcname_index', 'u')]","['p', 'u']",pg_tablespace oid spcname oid name pg_tablespace_oid_index_u pg_tablespace_spcname_index_u 0 1 u u
pg_transform,"['trflang', 'trftype', 'oid']","['oid', 'oid', 'oid']","[('pg_transform_type_lang_index', 'u'), ('pg_transform_type_lang_index', 'u'), ('pg_transform_oid_index', 'u')]","['u', 'u', 'p']",pg_transform trflang trftype oid oid oid oid pg_transform_type_lang_index_u pg_transform_type_lang_index_u pg_transform_oid_index_u 0 1 2 u u u
pg_trigger,"['tgrelid', 'oid', 'tgname']","['oid', 'oid', 'name']","[('pg_trigger_tgrelid_tgname_index', 'u'), ('pg_trigger_oid_index', 'u'), ('pg_trigger_tgrelid_tgname_index', 'u')]","['u', 'p', 'u']",pg_trigger tgrelid oid tgname oid oid name pg_trigger_tgrelid_tgname_index_u pg_trigger_oid_index_u pg_trigger_tgrelid_tgname_index_u 0 1 2 u u u
pg_ts_config,"['oid', 'cfgname', 'cfgnamespace']","['oid', 'name', 'oid']","[('pg_ts_config_oid_index', 'u'), ('pg_ts_config_cfgname_index', 'u'), ('pg_ts_config_cfgname_index', 'u')]","['p', 'u', 'u']",pg_ts_config oid cfgname cfgnamespace oid name oid pg_ts_config_oid_index_u pg_ts_config_cfgname_index_u pg_ts_config_cfgname_index_u 0 1 2 u u u
pg_ts_config_map,"['maptokentype', 'mapcfg', 'mapseqno']","['integer', 'oid', 'integer']","[('pg_ts_config_map_index', 'u'), ('pg_ts_config_map_index', 'u'), ('pg_ts_config_map_index', 'u')]","['p', 'p', 'p']",pg_ts_config_map maptokentype mapcfg mapseqno integer oid integer pg_ts_config_map_index_u pg_ts_config_map_index_u pg_ts_config_map_index_u 0 1 2 u u u
pg_ts_dict,"['oid', 'dictname', 'dictnamespace']","['oid', 'name', 'oid']","[('pg_ts_dict_oid_index', 'u'), ('pg_ts_dict_dictname_index', 'u'), ('pg_ts_dict_dictname_index', 'u')]","['p', 'u', 'u']",pg_ts_dict oid dictname dictnamespace oid name oid pg_ts_dict_oid_index_u pg_ts_dict_dictname_index_u pg_ts_dict_dictname_index_u 0 1 2 u u u
pg_ts_parser,"['prsnamespace', 'prsname', 'oid']","['oid', 'name', 'oid']","[('pg_ts_parser_prsname_index', 'u'), ('pg_ts_parser_prsname_index', 'u'), ('pg_ts_parser_oid_index', 'u')]","['u', 'u', 'p']",pg_ts_parser prsnamespace prsname oid oid name oid pg_ts_parser_prsname_index_u pg_ts_parser_prsname_index_u pg_ts_parser_oid_index_u 0 1 2 u u u
pg_ts_template,"['tmplname', 'oid', 'tmplnamespace']","['name', 'oid', 'oid']","[('pg_ts_template_tmplname_index', 'u'), ('pg_ts_template_oid_index', 'u'), ('pg_ts_template_tmplname_index', 'u')]","['u', 'p', 'u']",pg_ts_template tmplname oid tmplnamespace name oid oid pg_ts_template_tmplname_index_u pg_ts_template_oid_index_u pg_ts_template_tmplname_index_u 0 1 2 u u u
pg_type,"['typname', 'oid', 'typnamespace']","['name', 'oid', 'oid']","[('pg_type_typname_nsp_index', 'u'), ('pg_type_oid_index', 'u'), ('pg_type_typname_nsp_index', 'u')]","['u', 'p', 'u']",pg_type typname oid typnamespace name oid oid pg_type_typname_nsp_index_u pg_type_oid_index_u pg_type_typname_nsp_index_u 0 1 2 u u u
pg_user_mapping,"['oid', 'umuser', 'umserver']","['oid', 'oid', 'oid']","[('pg_user_mapping_oid_index', 'u'), ('pg_user_mapping_user_server_index', 'u'), ('pg_user_mapping_user_server_index', 'u')]","['p', 'u', 'u']",pg_user_mapping oid umuser umserver oid oid oid pg_user_mapping_oid_index_u pg_user_mapping_user_server_index_u pg_user_mapping_user_server_index_u 0 1 2 u u u
production.billofmaterials,"['unitmeasurecode', 'startdate', 'perassemblyqty', 'productassemblyid', 'componentid', 'productassemblyid', 'componentid', 'billofmaterialsid', 'perassemblyqty', 'productassemblyid', 'bomlevel', 'enddate']","['character(3)', 'timestamp without time zone', 'numeric(8,2)', 'integer', 'integer', 'integer', 'integer', 'integer', 'numeric(8,2)', 'integer', 'smallint', 'timestamp without time zone']","[('FK_BillOfMaterials_UnitMeasure_UnitMeasureCode', 'u'), ('CK_BillOfMaterials_EndDate', 'u'), ('CK_BillOfMaterials_BOMLevel', 'u'), ('CK_BillOfMaterials_ProductAssemblyID', 'p'), ('CK_BillOfMaterials_ProductAssemblyID', 'p'), ('FK_BillOfMaterials_Product_ProductAssemblyID', 'u'), ('FK_BillOfMaterials_Product_ComponentID', 'u'), ('PK_BillOfMaterials_BillOfMaterialsID', 'p'), ('CK_BillOfMaterials_PerAssemblyQty', 'u'), ('CK_BillOfMaterials_BOMLevel', 'p'), ('CK_BillOfMaterials_BOMLevel', 'p'), ('CK_BillOfMaterials_EndDate', 'u')]","['f', 'c', 'c', 'c', 'c', 'f', 'f', 'p', 'c', 'c', 'c', 'c']","production.billofmaterials unitmeasurecode startdate perassemblyqty productassemblyid componentid productassemblyid componentid billofmaterialsid perassemblyqty productassemblyid bomlevel enddate character(3) timestamp without time zone numeric(8,2) integer integer integer integer integer numeric(8,2) integer smallint timestamp without time zone FK_BillOfMaterials_UnitMeasure_UnitMeasureCode_u CK_BillOfMaterials_EndDate_u CK_BillOfMaterials_BOMLevel_u CK_BillOfMaterials_ProductAssemblyID_p CK_BillOfMaterials_ProductAssemblyID_p FK_BillOfMaterials_Product_ProductAssemblyID_u FK_BillOfMaterials_Product_ComponentID_u PK_BillOfMaterials_BillOfMaterialsID_p CK_BillOfMaterials_PerAssemblyQty_u CK_BillOfMaterials_BOMLevel_p CK_BillOfMaterials_BOMLevel_p CK_BillOfMaterials_EndDate_u 0 1 2 3 4 5 6 7 8 9 10 11 u u u p p u u p u p p u"
production.culture,['cultureid'],['character(6)'],"[('PK_Culture_CultureID', 'u')]",['p'],production.culture cultureid character(6) PK_Culture_CultureID_u 0 u
production.document,"['status', 'rowguid', 'owner', 'documentnode']","['smallint', 'uuid', 'integer', 'character varying']","[('CK_Document_Status', 'u'), ('document_rowguid_key', 'u'), ('FK_Document_Employee_Owner', 'u'), ('PK_Document_DocumentNode', 'p')]","['c', 'u', 'f', 'p']",production.document status rowguid owner documentnode smallint uuid integer character varying CK_Document_Status_u document_rowguid_key_u FK_Document_Employee_Owner_u PK_Document_DocumentNode_p 0 1 2 3 u u u p
production.illustration,['illustrationid'],['integer'],"[('PK_Illustration_IllustrationID', 'u')]",['p'],production.illustration illustrationid integer PK_Illustration_IllustrationID_u 0 u
production.location,"['availability', 'costrate', 'locationid']","['numeric(8,2)', 'numeric', 'integer']","[('CK_Location_Availability', 'u'), ('CK_Location_CostRate', 'u'), ('PK_Location_LocationID', 'u')]","['c', 'c', 'p']","production.location availability costrate locationid numeric(8,2) numeric integer CK_Location_Availability_u CK_Location_CostRate_u PK_Location_LocationID_u 0 1 2 u u u"
production.product,"['reorderpoint', 'productsubcategoryid', 'productmodelid', 'weightunitmeasurecode', 'sizeunitmeasurecode', 'productid', 'daystomanufacture', 'productline', 'class', 'listprice', 'style', 'sellstartdate', 'sellenddate', 'safetystocklevel', 'standardcost', 'weight']","['smallint', 'integer', 'integer', 'character(3)', 'character(3)', 'integer', 'integer', 'character(2)', 'character(2)', 'numeric', 'character(2)', 'timestamp without time zone', 'timestamp without time zone', 'smallint', 'numeric', 'numeric(8,2)']","[('CK_Product_ReorderPoint', 'u'), ('FK_Product_ProductSubcategory_ProductSubcategoryID', 'u'), ('FK_Product_ProductModel_ProductModelID', 'u'), ('FK_Product_UnitMeasure_WeightUnitMeasureCode', 'p'), ('FK_Product_UnitMeasure_SizeUnitMeasureCode', 'p'), ('PK_Product_ProductID', 'u'), ('CK_Product_DaysToManufacture', 'u'), ('CK_Product_ProductLine', 'p'), ('CK_Product_Class', 'u'), ('CK_Product_ListPrice', 'p'), ('CK_Product_Style', 'p'), ('CK_Product_SellEndDate', 'u'), ('CK_Product_SellEndDate', 'u'), ('CK_Product_SafetyStockLevel', 'u'), ('CK_Product_StandardCost', 'u'), ('CK_Product_Weight', 'u')]","['c', 'f', 'f', 'f', 'f', 'p', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']","production.product reorderpoint productsubcategoryid productmodelid weightunitmeasurecode sizeunitmeasurecode productid daystomanufacture productline class listprice style sellstartdate sellenddate safetystocklevel standardcost weight smallint integer integer character(3) character(3) integer integer character(2) character(2) numeric character(2) timestamp without time zone timestamp without time zone smallint numeric numeric(8,2) CK_Product_ReorderPoint_u FK_Product_ProductSubcategory_ProductSubcategoryID_u FK_Product_ProductModel_ProductModelID_u FK_Product_UnitMeasure_WeightUnitMeasureCode_p FK_Product_UnitMeasure_SizeUnitMeasureCode_p PK_Product_ProductID_u CK_Product_DaysToManufacture_u CK_Product_ProductLine_p CK_Product_Class_u CK_Product_ListPrice_p CK_Product_Style_p CK_Product_SellEndDate_u CK_Product_SellEndDate_u CK_Product_SafetyStockLevel_u CK_Product_StandardCost_u CK_Product_Weight_u 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 u u u p p u u p u p p u u u u u"
production.productcategory,['productcategoryid'],['integer'],"[('PK_ProductCategory_ProductCategoryID', 'u')]",['p'],production.productcategory productcategoryid integer PK_ProductCategory_ProductCategoryID_u 0 u
production.productcosthistory,"['startdate', 'startdate', 'enddate', 'productid', 'standardcost', 'productid']","['timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer', 'numeric', 'integer']","[('PK_ProductCostHistory_ProductID_StartDate', 'u'), ('CK_ProductCostHistory_EndDate', 'u'), ('CK_ProductCostHistory_EndDate', 'u'), ('FK_ProductCostHistory_Product_ProductID', 'p'), ('CK_ProductCostHistory_StandardCost', 'p'), ('PK_ProductCostHistory_ProductID_StartDate', 'u')]","['p', 'c', 'c', 'f', 'c', 'p']",production.productcosthistory startdate startdate enddate productid standardcost productid timestamp without time zone timestamp without time zone timestamp without time zone integer numeric integer PK_ProductCostHistory_ProductID_StartDate_u CK_ProductCostHistory_EndDate_u CK_ProductCostHistory_EndDate_u FK_ProductCostHistory_Product_ProductID_p CK_ProductCostHistory_StandardCost_p PK_ProductCostHistory_ProductID_StartDate_u 0 1 2 3 4 5 u u u p p u
production.productdescription,['productdescriptionid'],['integer'],"[('PK_ProductDescription_ProductDescriptionID', 'u')]",['p'],production.productdescription productdescriptionid integer PK_ProductDescription_ProductDescriptionID_u 0 u
production.productdocument,"['documentnode', 'documentnode', 'productid', 'productid']","['character varying', 'character varying', 'integer', 'integer']","[('PK_ProductDocument_ProductID_DocumentNode', 'u'), ('FK_ProductDocument_Document_DocumentNode', 'u'), ('PK_ProductDocument_ProductID_DocumentNode', 'u'), ('FK_ProductDocument_Product_ProductID', 'p')]","['p', 'f', 'p', 'f']",production.productdocument documentnode documentnode productid productid character varying character varying integer integer PK_ProductDocument_ProductID_DocumentNode_u FK_ProductDocument_Document_DocumentNode_u PK_ProductDocument_ProductID_DocumentNode_u FK_ProductDocument_Product_ProductID_p 0 1 2 3 u u u p
production.productinventory,"['bin', 'productid', 'locationid', 'productid', 'locationid']","['smallint', 'integer', 'smallint', 'integer', 'smallint']","[('CK_ProductInventory_Bin', 'u'), ('FK_ProductInventory_Product_ProductID', 'u'), ('FK_ProductInventory_Location_LocationID', 'u'), ('PK_ProductInventory_ProductID_LocationID', 'p'), ('PK_ProductInventory_ProductID_LocationID', 'p')]","['c', 'f', 'f', 'p', 'p']",production.productinventory bin productid locationid productid locationid smallint integer smallint integer smallint CK_ProductInventory_Bin_u FK_ProductInventory_Product_ProductID_u FK_ProductInventory_Location_LocationID_u PK_ProductInventory_ProductID_LocationID_p PK_ProductInventory_ProductID_LocationID_p 0 1 2 3 4 u u u p p
production.productlistpricehistory,"['productid', 'listprice', 'startdate', 'enddate', 'startdate', 'productid']","['integer', 'numeric', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'integer']","[('FK_ProductListPriceHistory_Product_ProductID', 'u'), ('CK_ProductListPriceHistory_ListPrice', 'u'), ('CK_ProductListPriceHistory_EndDate', 'u'), ('CK_ProductListPriceHistory_EndDate', 'p'), ('PK_ProductListPriceHistory_ProductID_StartDate', 'p'), ('PK_ProductListPriceHistory_ProductID_StartDate', 'u')]","['f', 'c', 'c', 'c', 'p', 'p']",production.productlistpricehistory productid listprice startdate enddate startdate productid integer numeric timestamp without time zone timestamp without time zone timestamp without time zone integer FK_ProductListPriceHistory_Product_ProductID_u CK_ProductListPriceHistory_ListPrice_u CK_ProductListPriceHistory_EndDate_u CK_ProductListPriceHistory_EndDate_p PK_ProductListPriceHistory_ProductID_StartDate_p PK_ProductListPriceHistory_ProductID_StartDate_u 0 1 2 3 4 5 u u u p p u
production.productmodel,['productmodelid'],['integer'],"[('PK_ProductModel_ProductModelID', 'u')]",['p'],production.productmodel productmodelid integer PK_ProductModel_ProductModelID_u 0 u
production.productmodelillustration,"['illustrationid', 'productmodelid', 'illustrationid', 'productmodelid']","['integer', 'integer', 'integer', 'integer']","[('PK_ProductModelIllustration_ProductModelID_IllustrationID', 'u'), ('PK_ProductModelIllustration_ProductModelID_IllustrationID', 'u'), ('FK_ProductModelIllustration_Illustration_IllustrationID', 'u'), ('FK_ProductModelIllustration_ProductModel_ProductModelID', 'p')]","['p', 'p', 'f', 'f']",production.productmodelillustration illustrationid productmodelid illustrationid productmodelid integer integer integer integer PK_ProductModelIllustration_ProductModelID_IllustrationID_u PK_ProductModelIllustration_ProductModelID_IllustrationID_u FK_ProductModelIllustration_Illustration_IllustrationID_u FK_ProductModelIllustration_ProductModel_ProductModelID_p 0 1 2 3 u u u p
production.productmodelproductdescriptionculture,"['productdescriptionid', 'cultureid', 'productmodelid', 'productmodelid', 'cultureid']","['integer', 'character(6)', 'integer', 'integer', 'character(6)']","[('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'u'), ('FK_ProductModelProductDescriptionCulture_Culture_CultureID', 'u'), ('FK_ProductModelProductDescriptionCulture_ProductModel_ProductMo', 'u'), ('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'p'), ('PK_ProductModelProductDescriptionCulture_ProductModelID_Product', 'p')]","['p', 'f', 'f', 'p', 'p']",production.productmodelproductdescriptionculture productdescriptionid cultureid productmodelid productmodelid cultureid integer character(6) integer integer character(6) PK_ProductModelProductDescriptionCulture_ProductModelID_Product_u FK_ProductModelProductDescriptionCulture_Culture_CultureID_u FK_ProductModelProductDescriptionCulture_ProductModel_ProductMo_u PK_ProductModelProductDescriptionCulture_ProductModelID_Product_p PK_ProductModelProductDescriptionCulture_ProductModelID_Product_p 0 1 2 3 4 u u u p p
production.productphoto,['productphotoid'],['integer'],"[('PK_ProductPhoto_ProductPhotoID', 'u')]",['p'],production.productphoto productphotoid integer PK_ProductPhoto_ProductPhotoID_u 0 u
production.productproductphoto,"['productphotoid', 'productid', 'productid', 'productphotoid']","['integer', 'integer', 'integer', 'integer']","[('FK_ProductProductPhoto_ProductPhoto_ProductPhotoID', 'u'), ('PK_ProductProductPhoto_ProductID_ProductPhotoID', 'u'), ('FK_ProductProductPhoto_Product_ProductID', 'u'), ('PK_ProductProductPhoto_ProductID_ProductPhotoID', 'p')]","['f', 'p', 'f', 'p']",production.productproductphoto productphotoid productid productid productphotoid integer integer integer integer FK_ProductProductPhoto_ProductPhoto_ProductPhotoID_u PK_ProductProductPhoto_ProductID_ProductPhotoID_u FK_ProductProductPhoto_Product_ProductID_u PK_ProductProductPhoto_ProductID_ProductPhotoID_p 0 1 2 3 u u u p
production.productreview,"['productreviewid', 'productid', 'rating']","['integer', 'integer', 'integer']","[('PK_ProductReview_ProductReviewID', 'u'), ('FK_ProductReview_Product_ProductID', 'u'), ('CK_ProductReview_Rating', 'u')]","['p', 'f', 'c']",production.productreview productreviewid productid rating integer integer integer PK_ProductReview_ProductReviewID_u FK_ProductReview_Product_ProductID_u CK_ProductReview_Rating_u 0 1 2 u u u
production.productsubcategory,"['productsubcategoryid', 'productcategoryid']","['integer', 'integer']","[('PK_ProductSubcategory_ProductSubcategoryID', 'u'), ('FK_ProductSubcategory_ProductCategory_ProductCategoryID', 'u')]","['p', 'f']",production.productsubcategory productsubcategoryid productcategoryid integer integer PK_ProductSubcategory_ProductSubcategoryID_u FK_ProductSubcategory_ProductCategory_ProductCategoryID_u 0 1 u u
production.scrapreason,['scrapreasonid'],['integer'],"[('PK_ScrapReason_ScrapReasonID', 'u')]",['p'],production.scrapreason scrapreasonid integer PK_ScrapReason_ScrapReasonID_u 0 u
production.transactionhistory,"['transactiontype', 'transactionid', 'productid']","['character(1)', 'integer', 'integer']","[('CK_TransactionHistory_TransactionType', 'u'), ('PK_TransactionHistory_TransactionID', 'u'), ('FK_TransactionHistory_Product_ProductID', 'u')]","['c', 'p', 'f']",production.transactionhistory transactiontype transactionid productid character(1) integer integer CK_TransactionHistory_TransactionType_u PK_TransactionHistory_TransactionID_u FK_TransactionHistory_Product_ProductID_u 0 1 2 u u u
production.transactionhistoryarchive,"['transactionid', 'transactiontype']","['integer', 'character(1)']","[('PK_TransactionHistoryArchive_TransactionID', 'u'), ('CK_TransactionHistoryArchive_TransactionType', 'u')]","['p', 'c']",production.transactionhistoryarchive transactionid transactiontype integer character(1) PK_TransactionHistoryArchive_TransactionID_u CK_TransactionHistoryArchive_TransactionType_u 0 1 u u
production.unitmeasure,['unitmeasurecode'],['character(3)'],"[('PK_UnitMeasure_UnitMeasureCode', 'u')]",['p'],production.unitmeasure unitmeasurecode character(3) PK_UnitMeasure_UnitMeasureCode_u 0 u
production.workorder,"['enddate', 'workorderid', 'productid', 'scrappedqty', 'orderqty', 'startdate', 'scrapreasonid']","['timestamp without time zone', 'integer', 'integer', 'smallint', 'integer', 'timestamp without time zone', 'smallint']","[('CK_WorkOrder_EndDate', 'u'), ('PK_WorkOrder_WorkOrderID', 'u'), ('FK_WorkOrder_Product_ProductID', 'u'), ('CK_WorkOrder_ScrappedQty', 'p'), ('CK_WorkOrder_OrderQty', 'p'), ('CK_WorkOrder_EndDate', 'u'), ('FK_WorkOrder_ScrapReason_ScrapReasonID', 'u')]","['c', 'p', 'f', 'c', 'c', 'c', 'f']",production.workorder enddate workorderid productid scrappedqty orderqty startdate scrapreasonid timestamp without time zone integer integer smallint integer timestamp without time zone smallint CK_WorkOrder_EndDate_u PK_WorkOrder_WorkOrderID_u FK_WorkOrder_Product_ProductID_u CK_WorkOrder_ScrappedQty_p CK_WorkOrder_OrderQty_p CK_WorkOrder_EndDate_u FK_WorkOrder_ScrapReason_ScrapReasonID_u 0 1 2 3 4 5 6 u u u p p u u
production.workorderrouting,"['workorderid', 'scheduledenddate', 'scheduledstartdate', 'actualenddate', 'actualstartdate', 'actualresourcehrs', 'plannedcost', 'actualcost', 'operationsequence', 'productid', 'workorderid', 'locationid']","['integer', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'timestamp without time zone', 'numeric(9,4)', 'numeric', 'numeric', 'smallint', 'integer', 'integer', 'smallint']","[('FK_WorkOrderRouting_WorkOrder_WorkOrderID', 'u'), ('CK_WorkOrderRouting_ScheduledEndDate', 'u'), ('CK_WorkOrderRouting_ScheduledEndDate', 'u'), ('CK_WorkOrderRouting_ActualEndDate', 'p'), ('CK_WorkOrderRouting_ActualEndDate', 'p'), ('CK_WorkOrderRouting_ActualResourceHrs', 'u'), ('CK_WorkOrderRouting_PlannedCost', 'u'), ('CK_WorkOrderRouting_ActualCost', 'p'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'u'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'p'), ('PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence', 'p'), ('FK_WorkOrderRouting_Location_LocationID', 'u')]","['f', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'p', 'p', 'p', 'f']","production.workorderrouting workorderid scheduledenddate scheduledstartdate actualenddate actualstartdate actualresourcehrs plannedcost actualcost operationsequence productid workorderid locationid integer timestamp without time zone timestamp without time zone timestamp without time zone timestamp without time zone numeric(9,4) numeric numeric smallint integer integer smallint FK_WorkOrderRouting_WorkOrder_WorkOrderID_u CK_WorkOrderRouting_ScheduledEndDate_u CK_WorkOrderRouting_ScheduledEndDate_u CK_WorkOrderRouting_ActualEndDate_p CK_WorkOrderRouting_ActualEndDate_p CK_WorkOrderRouting_ActualResourceHrs_u CK_WorkOrderRouting_PlannedCost_u CK_WorkOrderRouting_ActualCost_p PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence_u PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence_p PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence_p FK_WorkOrderRouting_Location_LocationID_u 0 1 2 3 4 5 6 7 8 9 10 11 u u u p p u u p u p p u"
purchasing.productvendor,"['businessentityid', 'unitmeasurecode', 'maxorderqty', 'productid', 'productid', 'businessentityid', 'onorderqty', 'standardprice', 'lastreceiptcost', 'minorderqty', 'averageleadtime']","['integer', 'character(3)', 'integer', 'integer', 'integer', 'integer', 'integer', 'numeric', 'numeric', 'integer', 'integer']","[('FK_ProductVendor_Vendor_BusinessEntityID', 'u'), ('FK_ProductVendor_UnitMeasure_UnitMeasureCode', 'u'), ('CK_ProductVendor_MaxOrderQty', 'u'), ('FK_ProductVendor_Product_ProductID', 'p'), ('PK_ProductVendor_ProductID_BusinessEntityID', 'p'), ('PK_ProductVendor_ProductID_BusinessEntityID', 'u'), ('CK_ProductVendor_OnOrderQty', 'u'), ('CK_ProductVendor_StandardPrice', 'p'), ('CK_ProductVendor_LastReceiptCost', 'u'), ('CK_ProductVendor_MinOrderQty', 'p'), ('CK_ProductVendor_AverageLeadTime', 'p')]","['f', 'f', 'c', 'f', 'p', 'p', 'c', 'c', 'c', 'c', 'c']",purchasing.productvendor businessentityid unitmeasurecode maxorderqty productid productid businessentityid onorderqty standardprice lastreceiptcost minorderqty averageleadtime integer character(3) integer integer integer integer integer numeric numeric integer integer FK_ProductVendor_Vendor_BusinessEntityID_u FK_ProductVendor_UnitMeasure_UnitMeasureCode_u CK_ProductVendor_MaxOrderQty_u FK_ProductVendor_Product_ProductID_p PK_ProductVendor_ProductID_BusinessEntityID_p PK_ProductVendor_ProductID_BusinessEntityID_u CK_ProductVendor_OnOrderQty_u CK_ProductVendor_StandardPrice_p CK_ProductVendor_LastReceiptCost_u CK_ProductVendor_MinOrderQty_p CK_ProductVendor_AverageLeadTime_p 0 1 2 3 4 5 6 7 8 9 10 u u u p p u u p u p p
